"Date","Price","Open","High","Low","Vol.","Change %"
"02/17/2017","259.29","258.62","259.29","258.07","37.53M","0.27%"
"02/16/2017","258.60","259.95","260.39","257.76","50.35M","-0.37%"
"02/15/2017","259.57","255.34","260.66","255.34","63.90M","1.64%"
"02/14/2017","255.38","256.02","257.26","255.14","56.43M","-0.23%"
"02/13/2017","255.97","255.24","256.00","255.06","41.69M","0.29%"
"02/10/2017","255.23","256.43","257.13","254.49","56.99M","-0.47%"
"02/09/2017","256.44","255.82","256.44","254.75","63.41M","0.24%"
"02/08/2017","255.82","256.38","257.42","255.62","65.73M","-0.25%"
"02/07/2017","256.45","257.85","258.24","255.10","112.08M","-0.57%"
"02/06/2017","257.91","247.34","258.20","247.34","169.88M","4.29%"
"02/03/2017","247.31","244.93","247.31","244.93","54.67M","1.02%"
"02/02/2017","244.82","242.71","244.82","242.71","57.06M","0.87%"
"01/24/2017","242.71","240.63","242.72","240.55","35.79M","0.85%"
"01/23/2017","240.66","239.83","241.02","239.80","21.49M","0.31%"
"01/20/2017","239.91","239.74","240.44","239.35","20.09M","0.06%"
"01/19/2017","239.77","239.78","239.96","238.77","28.47M","-0.03%"
"01/18/2017","239.84","238.64","240.33","238.16","16.27M","0.51%"
"01/17/2017","238.62","238.53","238.86","238.15","14.28M","0.04%"
"01/16/2017","238.52","239.94","239.94","238.14","21.20M","-0.58%"
"01/13/2017","239.91","240.61","240.79","239.33","17.67M","-0.29%"
"01/12/2017","240.61","239.59","240.77","239.59","21.12M","0.43%"
"01/11/2017","239.59","239.66","239.90","238.82","22.15M","0.03%"
"01/10/2017","239.51","239.90","239.98","238.93","16.48M","-0.17%"
"01/09/2017","239.91","239.85","240.63","239.30","20.75M","0.02%"
"01/06/2017","239.86","239.39","240.20","239.19","22.56M","0.20%"
"01/05/2017","239.39","239.33","239.65","239.05","22.19M","0.03%"
"01/04/2017","239.33","239.33","239.59","238.64","15.91M","0.00%"
"01/03/2017","239.33","240.09","240.31","238.95","14.00M","-0.32%"
"12/30/2016","240.09","236.47","240.26","236.47","31.59M","1.53%"
"12/29/2016","236.47","237.05","237.17","236.27","17.97M","-0.26%"
"12/28/2016","237.08","236.37","237.27","236.33","19.19M","0.29%"
"12/27/2016","236.39","236.85","237.34","236.05","13.69M","-0.19%"
"12/26/2016","236.85","236.79","237.92","236.79","12.88M","0.03%"
"12/23/2016","236.79","236.75","238.07","236.11","18.70M","0.02%"
"12/22/2016","236.75","239.58","239.62","236.50","26.08M","-1.19%"
"12/21/2016","239.59","240.70","241.80","239.48","21.76M","-0.46%"
"12/20/2016","240.70","241.21","241.85","240.07","28.09M","-0.28%"
"12/19/2016","241.37","240.65","242.55","240.65","60.69M","0.37%"
"12/16/2016","240.48","240.89","240.99","240.03","30.10M","-0.17%"
"12/15/2016","240.89","240.62","241.10","239.81","26.58M","0.11%"
"12/14/2016","240.62","241.32","241.87","240.15","29.71M","-0.29%"
"12/13/2016","241.32","240.09","241.52","240.00","32.06M","0.55%"
"12/12/2016","239.99","243.92","243.92","239.74","38.62M","-1.62%"
"12/09/2016","243.93","243.50","244.27","242.98","35.61M","0.18%"
"12/08/2016","243.50","242.41","243.50","242.35","35.06M","0.45%"
"12/07/2016","242.41","241.72","242.76","241.34","33.96M","0.29%"
"12/06/2016","241.71","241.42","244.09","241.42","48.72M","0.12%"
"12/05/2016","241.42","243.40","244.48","241.26","43.26M","-0.81%"
"12/02/2016","243.40","243.72","244.40","243.06","59.78M","-0.12%"
"12/01/2016","243.70","244.69","245.65","243.53","102.70M","-0.46%"
"11/30/2016","244.83","237.95","245.29","237.85","162.35M","3.06%"
"11/29/2016","237.57","236.15","239.10","236.15","98.57M","0.58%"
"11/28/2016","236.20","232.72","236.73","232.72","60.69M","1.50%"
"11/25/2016","232.72","231.88","232.90","231.88","33.01M","0.35%"
"11/24/2016","231.91","232.00","232.60","231.78","31.49M","-0.04%"
"11/23/2016","232.01","232.13","232.77","231.74","44.60M","-0.06%"
"11/22/2016","232.14","232.19","232.91","231.78","68.69M","-0.02%"
"11/21/2016","232.19","231.66","232.20","230.57","56.69M","0.23%"
"11/18/2016","231.65","230.88","231.65","230.32","33.85M","0.34%"
"11/17/2016","230.87","231.61","232.00","229.70","55.48M","-0.29%"
"11/16/2016","231.53","232.99","233.80","231.44","57.39M","-0.58%"
"11/15/2016","232.88","227.30","233.74","227.30","64.56M","2.43%"
"11/14/2016","227.35","227.18","227.82","226.35","16.77M","0.08%"
"11/11/2016","227.16","227.84","228.09","226.68","20.09M","-0.32%"
"11/10/2016","227.88","224.00","228.28","224.00","17.19M","1.73%"
"11/09/2016","224.00","229.81","230.04","223.29","26.71M","-2.42%"
"11/08/2016","229.55","229.01","229.79","228.77","11.22M","0.24%"
"11/07/2016","229.01","228.95","229.79","228.70","12.59M","0.03%"
"11/04/2016","228.95","228.68","229.02","228.12","14.61M","0.11%"
"11/03/2016","228.70","229.02","229.67","228.49","17.21M","-0.42%"
"11/02/2016","229.66","233.20","233.20","229.66","21.98M","-1.71%"
"11/01/2016","233.65","234.99","235.00","233.57","17.53M","-0.57%"
"10/31/2016","234.99","233.89","234.99","232.83","14.74M","0.51%"
"10/28/2016","233.79","234.60","234.60","233.49","16.05M","-0.41%"
"10/27/2016","234.76","234.76","235.22","234.25","18.76M","-0.03%"
"10/26/2016","234.83","235.22","235.48","234.69","15.88M","-0.17%"
"10/25/2016","235.22","235.97","236.18","235.12","16.84M","-0.33%"
"10/24/2016","236.01","235.31","236.41","235.31","15.00M","0.28%"
"10/21/2016","235.34","235.64","236.64","235.27","37.80M","-0.13%"
"10/20/2016","235.64","235.60","236.27","234.79","23.40M","0.00%"
"10/19/2016","235.64","235.64","236.25","235.53","18.86M","-0.03%"
"10/18/2016","235.70","234.83","235.70","234.61","28.48M","0.37%"
"10/17/2016","234.83","235.38","235.38","233.94","24.55M","-0.24%"
"10/14/2016","235.39","237.11","237.11","235.39","17.68M","-0.73%"
"10/13/2016","237.11","237.35","237.66","236.23","21.88M","-0.10%"
"10/12/2016","237.35","238.06","238.06","237.12","18.80M","-0.32%"
"10/11/2016","238.11","239.78","241.14","237.66","24.97M","-0.85%"
"10/07/2016","240.15","240.54","240.60","239.82","16.44M","-0.16%"
"10/06/2016","240.53","241.27","241.48","240.12","21.97M","-0.31%"
"10/05/2016","241.27","240.62","241.29","240.52","17.10M","0.23%"
"10/04/2016","240.71","240.73","241.27","240.36","16.58M","-0.01%"
"10/03/2016","240.73","241.50","241.98","240.63","19.85M","-0.32%"
"09/30/2016","241.50","242.12","242.12","238.88","20.58M","-0.28%"
"09/29/2016","242.19","241.64","242.95","241.64","27.73M","0.00%"
"09/28/2016","242.19","241.64","242.95","241.64","27.73K","0.22%"
