"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2017","341.39","338.69","341.83","338.07","72.32M","0.82%"
"06/02/2017","338.60","336.41","339.01","336.35","62.43M","0.85%"
"06/01/2017","335.76","336.16","336.65","334.80","64.56M","-0.41%"
"05/31/2017","337.14","336.62","337.14","335.09","73.93M","-0.10%"
"05/30/2017","337.47","338.72","338.89","336.69","54.34M","-0.25%"
"05/29/2017","338.31","340.02","340.02","338.20","60.19M","-0.41%"
"05/26/2017","339.70","341.65","341.70","339.04","76.06M","-0.53%"
"05/25/2017","341.52","342.08","342.36","341.05","74.31M","-0.07%"
"05/24/2017","341.75","342.12","342.40","340.71","90.38M","-0.11%"
"05/23/2017","342.11","344.83","344.91","342.07","88.26M","-0.79%"
