Date,Price,Open,High,Low,Vol.,Change %
11-04-21,2342.39,"2,348.37","2,364.76","2,336.02",,-0.50%
11-02-21,2354.06,"2,385.13","2,395.46","2,340.41",,-1.03%
11-01-21,2378.44,"2,374.56","2,389.39","2,358.92",,1.72%
10/29/2021,2338.33,"2,358.64","2,359.64","2,322.69",,0.06%
10/28/2021,2337.02,"2,306.25","2,347.91","2,300.71",,-0.25%
10/27/2021,2342.85,"2,359.39","2,359.39","2,326.81",,-0.30%
10/26/2021,2349.96,"2,321.00","2,366.37","2,321.00",,2.13%
10/25/2021,2300.84,"2,297.70","2,324.31","2,290.65",,0.72%
10/22/2021,2284.41,"2,271.74","2,301.64","2,271.74",,-0.28%
10/21/2021,2290.80,"2,330.38","2,344.06","2,288.44",,-1.89%
10/20/2021,2334.90,"2,334.18","2,346.76","2,325.71",,0.13%
10/19/2021,2331.84,"2,343.92","2,353.89","2,327.98",,-0.34%
10/18/2021,2339.82,"2,341.50","2,344.83","2,318.05",,-0.51%
10/15/2021,2351.90,"2,341.50","2,351.90","2,313.38",,0.74%
10/14/2021,2334.64,"2,312.08","2,337.32","2,304.47",,0.28%
10/13/2021,2328.15,"2,292.28","2,339.95","2,292.28",,1.48%
10-12-21,2294.19,"2,266.33","2,312.61","2,253.62",,0.48%
10-11-21,2283.31,"2,215.19","2,283.31","2,213.70",,3.73%
10-08-21,2201.22,"2,163.32","2,227.05","2,163.32",,2.29%
10-07-21,2152.03,"2,182.46","2,187.19","2,150.52",,-2.39%
10-06-21,2204.66,"2,234.75","2,256.21","2,190.31",,-0.90%
10-05-21,2224.67,"2,203.28","2,240.38","2,189.25",,-0.19%
10-04-21,2228.83,"2,237.04","2,256.06","2,220.22",,-0.38%
10-01-21,2237.38,"2,242.67","2,274.33","2,226.22",,-1.30%
09/30/2021,2266.88,"2,249.46","2,281.23","2,212.70",,-0.05%
09/29/2021,2267.92,"2,257.31","2,267.92","2,226.96",,-1.81%
09/28/2021,2309.66,"2,318.17","2,318.17","2,254.23",,-0.95%
09/27/2021,2331.86,"2,322.33","2,346.23","2,317.03",,0.77%
09/24/2021,2313.95,"2,256.14","2,314.48","2,254.25",,3.91%
09/22/2021,2226.94,"2,184.27","2,233.35","2,184.27",,0.68%
09/21/2021,2211.90,"2,167.03","2,227.86","2,156.98",,0.28%
09/17/2021,2205.70,"2,156.21","2,209.31","2,156.21",,1.51%
09/16/2021,2172.89,"2,181.97","2,189.25","2,160.16",,-0.31%
09/15/2021,2179.64,"2,183.57","2,184.63","2,164.21",,-1.45%
09/14/2021,2211.73,"2,164.49","2,211.73","2,162.26",,2.38%
09/13/2021,2160.26,"2,141.08","2,162.41","2,131.32",,0.74%
09-10-21,2144.45,"2,100.65","2,149.44","2,100.65",,2.02%
09-09-21,2101.93,"2,100.61","2,110.88","2,086.77",,-0.06%
09-08-21,2103.20,"2,067.55","2,104.96","2,062.31",,0.62%
09-07-21,2090.26,"2,060.84","2,090.26","2,059.70",,2.36%
09-06-21,2042.12,"2,064.17","2,069.65","2,033.15",,-0.06%
09-03-21,2043.36,"2,011.50","2,051.65","2,011.50",,1.20%
09-02-21,2019.06,"2,027.18","2,033.93","2,014.28",,-0.75%
09-01-21,2034.34,"1,999.58","2,034.95","1,999.58",,1.99%
08/31/2021,1994.72,"1,977.91","2,005.41","1,969.76",,0.33%
08/30/2021,1988.16,"2,005.81","2,011.76","1,974.77",,0.90%
08/27/2021,1970.40,"1,992.55","1,999.13","1,958.98",,-1.11%
08/26/2021,1992.45,"1,998.11","1,999.02","1,981.81",,1.17%
08/25/2021,1969.48,"1,948.83","1,980.92","1,948.83",,2.51%
08/24/2021,1921.25,"1,897.03","1,921.78","1,892.15",,2.05%
08/23/2021,1882.62,"1,853.74","1,885.76","1,851.75",,2.64%
08/20/2021,1834.24,"1,839.40","1,856.82","1,829.89",,0.15%
08/19/2021,1831.56,"1,846.14","1,862.23","1,831.20",,-1.71%
08/18/2021,1863.40,"1,901.30","1,904.31","1,863.40",,-3.12%
08/17/2021,1923.41,"1,991.58","1,992.51","1,919.00",,-3.26%
08/16/2021,1988.29,"2,007.34","2,007.34","1,916.60",,-2.16%
08/13/2021,2032.19,"2,019.52","2,032.19","2,009.80",,0.77%
08-12-21,2016.68,"2,034.06","2,052.44","2,014.05",,-0.56%
08-11-21,2028.10,"2,015.05","2,037.10","2,015.05",,1.51%
08-10-21,1997.96,"1,997.01","2,024.13","1,992.25",,0.29%
08-06-21,1992.28,"1,985.36","2,001.08","1,980.43",,0.34%
08-05-21,1985.57,"1,994.78","2,004.29","1,985.31",,-0.42%
08-04-21,1993.85,"2,002.55","2,004.77","1,992.51",,-0.48%
08-03-21,2003.50,"2,018.14","2,027.23","1,995.97",,-1.46%
08-02-21,2033.11,"2,012.27","2,036.67","2,010.25",,2.32%
07/30/2021,1986.99,"1,995.52","1,996.84","1,983.43",,-1.13%
07/29/2021,2009.66,"2,017.70","2,017.70","1,992.95",,0.50%
07/28/2021,1999.62,"2,012.10","2,024.09","1,988.67",,-1.19%
07/27/2021,2023.73,"2,012.56","2,024.28","2,010.40",,0.92%
07/26/2021,2005.35,"1,980.37","2,017.32","1,980.24",,3.20%
07/21/2021,1943.11,"1,956.94","1,971.52","1,941.68",,0.30%
07/20/2021,1937.27,"1,956.41","1,960.34","1,929.71",,-2.32%
07/19/2021,1983.21,"1,981.77","1,996.10","1,976.76",,-0.56%
